RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,tenure_months,date_opened
570,15706647,Jordan,761.0,France,Male,31,7,0.0,3,1.0,1,166698.18,0,84,02 Oct 2018
147,15705707,Bennelong,635.0,Spain,Female,29,8,138296.94,2,1.0,0,141075.51,0,96,01-10-2017
327,15601848,Scott,594.0,France,Male,35,2,0.0,2,1.0,0,103480.69,0,24,02-10-2023
913,15566091,Thomsen,545.0,Spain,Female,32,4,0.0,1,1.0,0,94739.2,0,48,01-10-2021
921,15797748,Lu,729.0,France,Male,44,5,0.0,2,0.0,1,9200.54,0,60,10/01/2020
509,15773890,Okechukwu,733.0,France,Male,22,5,0.0,2,1.0,1,117202.19,0,60,2020/10/01
1008,15701376,K'UNG,668.0,Germany,Male,37,10,152958.29,2,1.0,1,159585.61,0,120,02-10-2015
443,15672145,Swift,534.0,France,female,34,7,121551.58,2,1.0,1,70179.0,0,84,2018/10/02
172,15613172,Sun,628.0,GERMANY, Male,27,5,95826.49,2,1.0,0,155996.96,0,60,2020-10-01
846,15592222,Lo,505.0,France,Male,49,7,80001.23,1,0.0,0,135180.11,0,84,02 Oct 2018
356,15739438,  Reed  ,539.0,France,Male,30,0,0.0,2,1.0,0,,0,0,01 Oct 2025
831,15695846,Hawkins,684.0,France,Female,34,6,0.0,2,1.0,1,130928.22,0,72,02-10-2019
677,15607040,P'an,593.0,SPAIN,Female,38,4,88736.44,2,1.0,0,67020.03,0,48,2021-10-01
1005,15710424,PAGE,435.0,France,Male,36,4,0.0,1,1.0,1,197015.2,0,48,2021-10-01
771,15584091,Pitts,742.0,Germany,Female,36,2,129748.54,2,0.0,0,47271.61,1,24,02 Oct 2023
325,15682757,Pardey,734.0,  France  ,Male,30,3,0.0,2,1.0,0,"$107,640.25",0,36,10/02/2022
809,15708917,Martin,598.0,Germany,Male,53,10,167772.96,1,1.0,1,136886.86,0,120,02-10-2015
681,15780804,Nucci,482.0,France,Male,55,5,97318.25,1,0.0,1,78416.14,0,60,01 Oct 2020
233,15787174,Sergeyev,512.0,France,Female,37,1,0.0,2,0.0,1,156105.03,0,12,10/01/2024
813,15578980,Piazza,516.0,Spain,female,33,3,,2,1.0,1,58685.59,0,36,2022/10/02
410,15691625,Ko,537.0,germany,Female,41,3,138306.34,1,1.0,0,,0,36,2022-10-02
792,15643696,Young,611.0,France,Male,49,3,0.0,2,1.0,1,142917.54,0,36,02 Oct 2022
448,15644572,Turnbull,501.0,France,Male,40,4,125832.2,1,1.0,1,"$100,433.83",0,48,01-10-2021
298,15684173,Chang,687.0,Spain,F,44,7,0.0,3,1.0,0,155853.52,1,84,02-10-2018
953,15606149,Wood,571.0,Germany,Female,66,9,111577.01,1,0.0,1,189271.9,0,108,01 Oct 2016
25,15625047,Yen,846.0,France,Female,38,5,0.0,1,1.0,1,187616.16,0,60,01-10-2020
936,15675316,Avdeeva,619.0,France,Female,38,3,0.0,2,0.0,1,116467.35,0,36,02-10-2022
923,15753337,Yeates,555.0,France,Male,51,5,0.0,3,1.0,0,189122.89,1,60,01-10-2020
257,15636684,Kirkland,727.0,France,Male,34,10,0.0,2,1.0,1,198637.34,0,120,2015/10/02
10,15592389,H?,684.0,France,Male,27,2,,1,1.0,1,71725.73,0,24,10/02/2023
376,15758449,Angelo,769.0,France,Female,39,8,$0.00,1,0.0,1,21016.0,0,96,2017/10/01
217,15680920,Marchesi,695.0,France,Male,46,7,49512.55,1,1.0,0,133007.34,0,84,02-10-2018
657,15813741,Nnachetam,549.0,  Spain  ,Male,25,6,193858.2,1,0.0,1,21600.11,0,72,02-10-2019
165,15658929,Taverner,683.0,Spain,Male,29,0,133702.89,1,1.0,0,55582.54,1,0,01 Oct 2025
61,15651280,  Hunter  ,742.0,germany,Male,35,5,136857.0,1,0.0,0,84509.57,0,60,2020-10-01
169,15574692,Pinto,667.0,spain,Female,39,2,0.0,2,1.0,0,40721.24,1,24,2023/10/02
164,15680772,Hu,721.0,Spain,Female,36,2,0.0,2,1.0,1,106977.8,0,24,2023/10/02
26,15738191,Maclean,577.0,France,Male,25,3,0.0,2,,1,124508.29,0,36,02-10-2022
408,15745354,Franklin,611.0,Spain,Female,37,4,0.0,2,1.0,0,125696.26,0,48,01 Oct 2021
286,15626144,chu,675.0,France,Male,40,7,113208.86,2,1.0,0,34577.36,0,84,02-10-2018
597,15697183,Uchenna,685.0,Spain,Male,43,9,0.0,2,1.0,0,107811.28,0,108,01 Oct 2016
348,15747358,Russell,643.0,Germany,Male,59,3,170331.37,1,1.0,1,32171.79,0,36,10/02/2022
611,15686611,Moss,495.0,France,Male,30,10,129755.99,1,0.0,0,,0,120,2015/10/02
745,15670755,Shaw,650.0,France, Male,60,8,0.0,2,1.0,1,102925.76,0,96,10/01/2017
614,15805062,Lynton,667.0,Spain,Male,38,1,87202.38,1,1.0,1,77866.91,0,12,2024-10-01
345,15785869,Pisano,718.0,France,Female,25,7,0.0,2,1.0,0,30380.12,0,84,02-10-2018
285,15708608,Wallwork,799.0,  France  ,Female,22,8,174185.98,2,0.0,1,192633.85,0,96,2017-10-01
126,15627360,Fuller,432.0,France,Male,42,9,152603.45,1,1.0,0,110265.24,1,108,2016/10/01
295,15785819,Shao,681.0,France,Male,38,3,0.0,2,1.0,1,112491.96,0,36,02-10-2022
772,15640442,Standish,717.0,France,Male,31,4,129722.57,1,0.0,0,41176.6,0,48,2021-10-01
14,15691483,Chin,549.0,France,Female,25,5,0.0,2,0.0,0,190857.79,0,60,2020-10-01
223,15727829,McIntyre,567.0,France,Male,42,2,0.0,2,1.0,1,167984.61,0,24,02-10-2023
553,15763063,Price,685.0,Spain,F,25,10,128509.63,1,1.0,0,121562.33,0,120,02 Oct 2015
100,15633059,Fanucci,413.0,France,Male,34,9,0.0,2,0.0,0,6534.18,0,108,01-10-2016
373,15694506,Briggs,611.0,Germany,Male,31,0,107884.81,2,1.0,1,183487.98,0,0,2025/10/01
851,15572265,Wu,646.0,Germany,Male,46,1,170826.55,2,1.0,0,45041.32,0,12,2024/10/01
997,15645621,Hunter,811.0,Spain,Male,44,3,0.0,2,0.0,1,78439.73,0,36,2022-10-02
884,15743007,Seabrook,,france,Female,45,4,45144.43,1,1.0,0,60917.24,1,48,2021-10-01
114,15591100,Chiemela,675.0,  Spain  ,Male,36,9,106190.55,1,0.0,1,22994.32,0,108,2016/10/01
885,15777211,Herrera,515.0,France,Male,65,7,92113.61,1,1.0,1,142548.33,0,84,2018-10-02
95,15676966,Capon,730.0,N/A,Male,42,4,0.0,2,0.0,1,85982.47,0,48,2021-10-01
996,15810218,  Sun  ,610.0,Spain,male,29,9,0.0,3,0.0,1,83912.24,0,108,2016/10/01
453,15710825,Ch'en,592.0,Spain,Male,150,7,110071.1,1,0.0,0,43921.36,0,84,2018-10-02
716,15578977,Robinson,786.0,France,Male,34,9,0.0,2,1.0,0,144517.19,0,108,2016-10-01
419,15659843,Li,643.0,France,Female,46,6,0.0,2,0.0,0,106781.59,0,72,10/02/2019
796,15686870,Ball,761.0,  Germany  ,Male,36,8,108239.11,2,0.0,0,,0,96,01-10-2017
455,15726631,Hilton,758.0,FRANCE,Female,39,6,127357.76,1,0.0,1,56577.0,0,72,2019/10/02
823,15765311,Zhirov,642.0,Spain,male,34,8,0.0,1,1.0,0,,0,96,01 Oct 2017
602,15645569,Mai,762.0,Spain,Female,26,7,"$123,709.46",2,1.0,1,169654.57,0,84,02 Oct 2018
427,15652883,Chung,492.0,Germany,Male,39,10,124576.65,2,1.0,0,148584.61,0,120,2015/10/02
943,15804586,Lin,376.0,France,Female,46,6,0.0,1,1.0,0,157333.69,1,72,10/02/2019
674,15745621,Wertheim,640.0,Spain,female,32,6,118879.35,2,1.0,1,19131.71,0,72,2019/10/02
35,15732963,Clements,722.0,  Spain  ,Female,29,9,$0.00,2,1.0,1,142033.07,0,108,10/01/2016
54,15702298,Parkhill,655.0,Germany,Male,41,8,125561.97,1,0.0,0,164040.94,1,96,10/01/2017
869,15646810,Quinn,603.0,Germany,Male,44,6,108122.39,2,1.0,0,108488.33,1,72,02 Oct 2019
743,15696231,Chiwetelu,635.0,France,M,29,7,105405.97,1,1.0,1,149853.89,0,84,2018/10/02
272,15619955,Bevington,733.0,Germany,Male,34,3,100337.96,3,1.0,0,48559.19,1,36,10/02/2022
756,15660101,Nnonso,803.0,France,Male,31,-1,157120.86,2,1.0,0,141300.53,0,108,2016-10-01
682,15613880,higinbotham,591.0,Spain,Male,58,5,128468.69,1,0.0,1,137254.55,0,60,01-10-2020
587,15722010,Zuyev,621.0,Spain,Male,53,-1,170491.84,1,1.0,0,,1,108,2016/10/01
366,15613085,Ibrahimova,628.0,Spain,Female,33,3,0.0,1,1.0,1,188193.25,0,36,2022/10/02
791,15763431,Echezonachukwu,698.0,France,Male,36,2,82275.35,2,1.0,1,93249.26,0,24,10/02/2023
985,15704770,Pan,773.0,France,Male,25,1,124532.78,2,0.0,1,11723.57,0,12,2024/10/01
989,15664521,David,659.0,Spain, Male,31,7,149620.88,2,1.0,1,104533.51,0,84,02-10-2018
659,15568595,Fleming,0.0,France,Male,64,9,113829.45,1,1.0,1,124341.49,0,108,01 Oct 2016
